北京 BEIJING bj
上海 SHANGHAI sh
天津 TIANJIN tj
重庆 CHONGQING cq
阿克苏 AKESU ask
安宁 ANNING an
安庆 ANQING aq
鞍山 ANSHAN as
安顺 ANSHUN as
安阳 ANYANG ay
白城 BAICHENG bc
白山 BAISHAN bs
白银 BAIYIN by
蚌埠 BENGBU bb
保定 BAODING bd
宝鸡 BAOJI bj
保山 BAOSHAN bs
巴中 BAZHONG bz
北海 BEIHAI bh
本溪 BENXI bx
滨州 BINZHOU bz
博乐 BOLE bl
亳州 BOZHOU bz
沧州 CANGZHOU cz
常德 CHANGDE cd
昌吉 CHANGJI cj
常熟 CHANGSHU cs
常州 CHANGZHOU cz
巢湖 CHAOHU ch
朝阳 CHAOYANG cy
潮州 CHAOZHOU cz
承德 CHENGDE cd
成都 CHENGDU cd
城固 CHENGGU cg
郴州 CHENZHOU cz
赤壁 CHIBI cb
赤峰 CHIFENG cf
赤水 CHISHUI cs
池州 CHIZHOU cz
崇左 CHONGZUO cz
楚雄 CHUXIONG cx
滁州 CHUZHOU cz
慈溪 CIXI cx
从化 CONGHUA ch
大理 DALI dl
大连 DALIAN dl
丹东 DANDONG dd
丹阳 DANYANG dy
大庆 DAQING dq
大同 DATONG dt
达州 DAZHOU dz
德阳 DEYANG dy
德州 DEZHOU dz
东莞 DONGGUAN dg
东阳 DONGYANG dy
东营 DONGYING dy
都匀 DOUYUN dy
敦化 DUNHUA dh
鄂尔多斯 EERDUOSI eeds
恩施 ENSHI es
防城港 FANGCHENGGANG fcg
肥城 FEICHENG fc
奉化 FENGHUA fh
抚顺 FUSHUN fs
阜新 FUXIN fx
阜阳 FUYANG fy
富阳 FUYANG fy
福州 FUZHOU fz
抚州 FUZHOU1 fz
赣榆 GANYU gy
赣州 GANZHOU gz
高明 GAOMING gm
高邮 GAOYOU gy
格尔木 GEERMU gem
个旧 GEJIU gj
巩义 GONGYI gy
广安 GUANGAN ga
广元 GUANGYUAN gy
广州 GUANGZHOU gz
古包头 GUBAOTOU gbt
贵港 GUIGANG gg
桂林 GUILIN gl
贵阳 GUIYANG gy
固原 GUYUAN gy
哈尔滨 HARBIN heb
海城 HAICHENG hc
海口 HAIKOU hk
海门 HAIMEN hm
海宁 HAINING hn
哈密 HAMI hm
邯郸 HANDAN hd
杭州 HANGZHOU hz
汉中 HANZHONG hz
鹤壁 HEBI hb
合肥 HEFEI hf
衡水 HENGSHUI hs
衡阳 HENGYANG hy
和田 HETIAN ht
河源 HEYUAN hy
菏泽 HEZE hz
花都 HUADOU hd
淮安 HUAIAN ha
淮北 HUAIBEI hb
怀化 HUAIHUA hh
淮南 HUAINAN hn 
黄冈 HUANGGANG hg
黄山 HUANGSHAN hs
黄石 HUANGSHI hs
呼和浩特 HUHEHOT hhht
惠州 HUIZHOU hz
葫芦岛 HULUDAO hld
湖州 HUZHOU hz
佳木斯 JIAMUSI jms
吉安 JIAN ja
江都 JIANGDOU jd
江门 JIANGMEN jm
江阴 JIANGYIN jy 
胶南 JIAONAN jn
胶州 JIAOZHOU jz
焦作 JIAOZUO jz
嘉善 JIASHAN js
嘉兴 JIAXING jx
介休 JIEXIU jx
吉林 JILIN jl
即墨 JIMO jm
济南 JINAN jn
晋城 JINCHENG jc
景德镇 JINGDEZHEN jdz
景洪 JINGHONG jh
靖江 JINGJIANG jj
荆门 JINGMEN jm
荆州 JINGZHOU jz
金华 JINHUA jh
集宁 JINING1 jn
济宁 JINING jn
晋江 JINJIANG jj
金坛 JINTAN jt
晋中 JINZHONG jz
锦州 JINZHOU jz
吉首 JISHOU js
九江 JIUJIANG jj
酒泉 JIUQUAN jq
鸡西 JIXI jx
济源 JIYUAN jy 
句容 JURONG jr
开封 KAIFENG kf
凯里 KAILI kl
开平 KAIPING kp
开远 KAIYUAN ky
喀什 KASHEN ks
克拉玛依 KELAMAYI klmy
库尔勒 KUERLE kel
奎屯 KUITUN kt
昆明 KUNMING km
昆山 KUNSHAN ks
来宾 LAIBIN lb
莱芜 LAIWU lw
莱西 LAIXI lx
莱州 LAIZHOU lz
廊坊 LANGFANG lf
兰州 LANZHOU lz
拉萨 LASA ls
乐山 LESHAN ls
连云港 LIANYUNGANG lyg
聊城 LIAOCHENG lc
辽阳 LIAOYANG ly
辽源 LIAOYUAN ly
丽江 LIJIANG lj
临安 LINAN la
临沧 LINCANG lc
临汾 LINFEN lf
灵宝 LINGBAO lb
临河 LINHE lh
临夏 LINXIA lx
临沂 LINYI ly
丽水 LISHUI ls
六安 LIUAN la
六盘水 LIUPANSHUI lps
柳州 LIUZHOU lz
溧阳 LIYANG ly
龙海 LONGHAI lh
龙岩 LONGYAN ly
娄底 LOUDI ld
漯河 LUOHE lh
洛阳 LUOYANG ly
潞西 LUXI lx
泸州 LUZHOU lz
吕梁 LVLIANG ll
旅顺 LVSHUN ls
马鞍山 MAANSHAN mas
茂名 MAOMING mm
梅河口 MEIHEKOU mhk
眉山 MEISHAN ms
梅州 MEIZHOU mz
勉县 MIANXIAN mx
绵阳 MIANYANG my
牡丹江 MUDANJIANG mdj
南安 NANAN na
南昌 NANCHANG nc
南充 NANCHONG nc
南京 NANJING nj
南宁 NANNING nn
南平 NANPING np
南通 NANTONG nt
南阳 NANYANG ny
内江 NEIJIANG nj
宁波 NINGBO nb
宁德 NINGDE nd
盘锦 PANJIN pj
攀枝花 PANZHIHUA pzh
蓬莱 PENGLAI pl
平顶山 PINGDINGSHAN pds
平度 PINGDU pd
平湖 PINGHU ph
平凉 PINGLIANG pl
萍乡 PINGXIANG px
普兰店 PULANDIAN pld
普宁 PUNING pn
莆田 PUTIAN pt
濮阳 PUYANG py
黔南 QIANNAN qn
启东 QIDONG qd
青岛 QINGDAO qd
庆阳 QINGYANG qy
清远 QINGYUAN qy
青州 QINGZHOU qz
秦皇岛 QINHUANGDAO qhd
钦州 QINZHOU qz
琼海 QIONGHAI qh
齐齐哈尔 QIQIHAR qqhe
泉州 QUANZHOU qz
曲靖 QUJING qj
衢州 QUZHOU qz
日喀则 RIKAZE rkz
日照 RIZHAO rz
荣成 RONGCHENG rc
如皋 RUGAO rg
瑞安 RUIAN ra
乳山 RUSHAN rs
三门峡 SANMENXIA smx
三明 SANMING sm
三亚 SANYA sy
厦门 XIAMEN xm
佛山 foSHAN fs
商洛 SHANGLUO sl
商丘 SHANGQIU sq
上饶 SHANGRAO sr
上虞 SHANGYU sy
汕头 SHANTOU st
安康 ANKANG ak
韶关 SHAOGUAN sg
绍兴 SHAOXING sx
邵阳 SHAOYANG sy
沈阳 SHENYANG sy
深圳 SHENZHEN sz
石河子 SHIHEZI shz
石家庄 SHIJIAZHUANG sjz
石林 SHILIN sl
石狮 SHISHI ss
十堰 SHIYAN sy
寿光 SHOUGUANG sg
双鸭山 SHUANGYASHAN sys
朔州 SHUOZHOU sz
沭阳 SHUYANG sy
思茅 SIMAO sm
四平 SIPING sp
松原 SONGYUAN sy
遂宁 SUINING sn
随州 SUIZHOU sz
苏州 SUZHOU sz
塔城 TACHENG tc
泰安 TAIAN ta
太仓 TAICANG tc
泰兴 TAIXING tx
太原 TAIY ty
泰州 TAIZHOU tz
台州 TAIZHOU1 tz
唐山 TANGSHAN ts
腾冲 TENGCHONG tc
滕州 TENGZHOU tz
天门 TIANMEN tm
天水 TIANSHUI ts
铁岭 TIELING tl
铜川 TONGCHUAN tc
通辽 TONGLIAO tl
铜陵 TONGLING tl
桐庐 TONGLU tl
铜仁 TONGREN tr
桐乡 TONGXIANG tx
通州 TONGZHOU tz
通化 TONGHUA th
吐鲁番 TULUFAN tlf
瓦房店 WAFANGDIAN wfd
潍坊 WEIFANG wf
威海 WEIHAI wh
渭南 WEINAN wn
文登 WENDENG wd
温岭 WENLING wl
温州 WENZHOU wz
乌海 WUHAI wh
武汉 WUHAN wh
芜湖 WUHU wh
吴江 WUJIANG wj
乌兰浩特 WULANHAOTE wlht
武威 WUWEI ww
无锡 WUXI wx
梧州 WUZHOU wz
西安 XIAN xa
项城 XIANGCHENG xc
襄樊 XIANGFAN xf
香格里拉 XIANGGELILA xgll
象山 XIANGSHAN xs
湘潭 XIANGTAN xt
湘乡 XIANGXIANG xx
咸宁 XIANNING xn
仙桃 XIANTAO xt
咸阳 XIANYANG xy
西藏 XICANG xz
西昌 XICHANG xc
邢台 XINGTAI xt
兴义 XINGYI xy
西宁 XINING xn
新乡 XINXIANG xx
信阳 XINYANG xy
新余 XINYU xy
忻州 XINZHOU xz
宿迁 SUQIAN sq
宿豫 SUYU sy
宣城 XUANCHENG xc
许昌 XUCHANG xc
徐州 XUZHOU xz
雅安 YAAN ya
牙克石 YAKESHI yks
延安 YANAN ya
延边 YANBIAN yb
盐城 YANCHENG yc
阳江 YANGJIANG yj
阳泉 YANGQUAN yq
扬州 YANGZHOU yz
延吉 YANJI yj
烟台 YANTAI yt
兖州 YANZHOU yz
宜宾 YIBIN yb
宜昌 YICHANG yc
宜春 YICHUN yc
伊春 YICHUN1 yc
伊犁 YILI yl
银川 YINCHUAN yc
营口 YINGKOU yk
鹰潭 YINGTAN yt
伊宁 YINING yn
义乌 YIWU yw
宜兴 YIXING yx
益阳 YIYANG yy
永康 YONGKANG yk
永州 YONGZHOU yz
岳阳 YUEYANG yy
玉环 YUHUAN yh
榆林 YULIN1 yl
玉林 YULIN yl
运城 YUNCHENG yc
玉溪 YUXI yx
余姚 YUYAO yy
枣庄 ZAOZHUANG zz
增城 ZENGCHENG zc
长春 CHANGCHUN cc
长海 CHANGHAI ch
张家港 ZHANGJIAGANG zjg
张家界 ZHANGJIAJIE zjj
张家口 ZHANGJIAKOU zjk
长乐 CHANGLE cl
章丘 ZHANGQIU zq
